"","country","retailrecration","grocerypharmacy","parks","transitstations","workplaces","residential"
"1","Afghanistan","-38%","-21%","-13%","-34%","-33%","+10%"
"2","Angola","-61%","-40%","-39%","-57%","-11%","+22%"
"3","Antigua","-46%","-21%","-30%","-67%","-48%","+17%"
"4","Argentina","-86%","-61%","-89%","-80%","-57%","+27%"
"5","Aruba","-88%","-66%","-80%","-88%","-72%","+20%"
"6","Australia","-45%","-19%","-35%","-58%","-33%","+13%"
"7","Austria","-87%","-64%","-43%","-71%","-51%","+14%"
"8","Bahrain","-45%","-22%","-40%","-38%","-25%","+16%"
"9","Bangladesh","-68%","-46%","-26%","-66%","-60%","+24%"
"10","Barbados","-70%","-47%","-60%","-77%","-52%","+15%"
"11","Belarus","-14%","+5%","+41%","-7%","+3%","-2%"
"12","Belgium","-84%","-53%","-66%","-76%","-52%","+17%"
"13","Belize","-63%","-49%","-38%","-68%","-42%","+13%"
"14","Benin","-16%","+0%","+10%","-14%","+2%","+5%"
"15","Bolivia","-93%","-94%","-89%","-92%","-72%","+35%"
"16","Bosnia","-76%","-50%","-22%","-59%","-50%","+13%"
"17","Botswana","-12%","-2%","+7%","-20%","-3%","+13%"
"18","Brazil","-71%","-35%","-70%","-62%","-34%","+17%"
"19","Bulgaria","-66%","-36%","-32%","-58%","-29%","+11%"
"20","Burkina","-34%","-25%","-22%","-53%","-3%","+15%"
"21","Cambodia","-43%","-29%","-31%","-57%","-15%","+12%"
"22","Cameroon","-26%","-20%","-19%","-23%","-3%","+9%"
"23","Canada","-59%","-35%","-16%","-66%","-44%","+14%"
"24","Cape","-60%","-48%","-57%","-88%","-40%","+19%"
"25","Chile","-73%","-55%","-72%","-64%","-42%","+24%"
"26","Colombia","-86%","-68%","-80%","-82%","-58%","+26%"
"27","Costa","-68%","-41%","-71%","-68%","-39%","+21%"
"28","Croatia","-82%","-57%","-45%","-74%","-50%","+15%"
"29","Czechia","-73%","-26%","-24%","-61%","-31%","+11%"
"30","Côte","-35%","-21%","-21%","-33%","-9%","+14%"
"31","Denmark","-37%","-22%","+35%","-60%","-28%","+9%"
"32","Dominican","-80%","-63%","-73%","-84%","-56%","+23%"
"33","Ecuador","-84%","-66%","-80%","-80%","-61%","+26%"
"34","Egypt","-50%","-24%","-40%","-52%","-35%","+15%"
"35","El","-81%","-62%","-72%","-73%","-50%","+23%"
"36","Estonia","-60%","-28%","+4%","-51%","-32%","+10%"
"37","Fiji","-39%","-25%","-13%","-59%","-6%","+12%"
"38","Finland","-52%","-21%","+48%","-59%","-25%","+9%"
"39","France","-88%","-72%","-82%","-87%","-56%","+18%"
"40","Gabon","-39%","-24%","-25%","-47%","-15%","+15%"
"41","Georgia","-67%","-36%","-24%","-53%","-38%","+12%"
"42","Germany","-77%","-51%","-49%","-68%","-39%","+11%"
"43","Ghana","-15%","+8%","-15%","-15%","+3%","+9%"
"44","Greece","-80%","-41%","-55%","-76%","-53%","+20%"
"45","Guatemala","-67%","-39%","-53%","-69%","-39%","+19%"
"46","Guinea-Bissau","-50%","","","","",""
"47","Haiti","-34%","-31%","-19%","-48%","-14%","+7%"
"48","Honduras","-81%","-64%","-59%","-74%","-46%","+20%"
"49","Hong","-35%","-7%","-43%","-45%","-24%","+16%"
