US State,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential,LAT,LON,GeoPoint
Maine,-50.0,-22.0,-24.0,-56.0,-31.0,10,45.3152809143066,-69.2039489746094,POINT(-69.2039489746094 45.3152809143066)
Oklahoma,-36.0,-12.0,29.0,-23.0,-32.0,9,35.5826988220215,-97.5086212158203,POINT(-97.5086212158203 35.5826988220215)
Oregon,-51.0,-25.0,-22.0,-47.0,-38.0,12,43.9388122558594,-120.558586120605,POINT(-120.558586120605 43.9388122558594)
Massachusetts,-59.0,-36.0,-56.0,-73.0,-42.0,16,42.1561851501465,-71.5661926269531,POINT(-71.5661926269531 42.1561851501465)
Washington,-48.0,-26.0,-11.0,-56.0,-41.0,13,47.4112968444824,-120.556266784668,POINT(-120.556266784668 47.4112968444824)
Vermont,-62.0,-42.0,-55.0,-71.0,-43.0,13,44.0752029418945,-72.6626892089844,POINT(-72.6626892089844 44.0752029418945)
Illinois,-53.0,-24.0,-29.0,-55.0,-39.0,13,40.1139373779297,-89.1587677001953,POINT(-89.1587677001953 40.1139373779297)
Minnesota,-58.0,-35.0,-16.0,-64.0,-38.0,14,46.3493576049805,-94.198371887207,POINT(-94.198371887207 46.3493576049805)
Wyoming,-37.0,-13.0,29.0,-14.0,-29.0,8,42.9995765686035,-107.55152130127,POINT(-107.55152130127 42.9995765686035)
West Virginia,-38.0,-16.0,52.0,-31.0,-33.0,8,38.6424140930176,-80.6136169433594,POINT(-80.6136169433594 38.6424140930176)
New Hampshire,-58.0,-35.0,-63.0,-63.0,-38.0,13,43.6855278015137,-71.5775985717773,POINT(-71.5775985717773 43.6855278015137)
South Dakota,-35.0,-3.0,126.0,-31.0,-25.0,8,44.436149597168,-100.230506896973,POINT(-100.230506896973 44.436149597168)
Nevada,-47.0,-23.0,-38.0,-62.0,-52.0,14,39.3564186096191,-116.655410766602,POINT(-116.655410766602 39.3564186096191)
Nebraska,-34.0,-9.0,109.0,-18.0,-24.0,8,41.527271270752,-99.8111038208008,POINT(-99.8111038208008 41.527271270752)
Kentucky,-37.0,-11.0,68.0,-34.0,-34.0,9,37.5272331237793,-85.2876205444336,POINT(-85.2876205444336 37.5272331237793)
Texas,-45.0,-23.0,-27.0,-47.0,-36.0,13,31.4627552032471,-99.3330307006836,POINT(-99.3330307006836 31.4627552032471)
Ohio,-43.0,-19.0,117.0,-33.0,-35.0,10,40.4130516052246,-82.7112197875977,POINT(-82.7112197875977 40.4130516052246)
Idaho,-42.0,-18.0,25.0,-34.0,-38.0,10,44.3890342712402,-114.65941619873,POINT(-114.65941619873 44.3890342712402)
Pennsylvania,-50.0,-27.0,7.0,-52.0,-38.0,12,40.8965110778809,-77.838752746582,POINT(-77.838752746582 40.8965110778809)
Wisconsin,-55.0,-30.0,-12.0,-50.0,-34.0,13,44.6417846679688,-89.7367401123047,POINT(-89.7367401123047 44.6417846679688)
Montana,-51.0,-25.0,28.0,-37.0,-37.0,10,47.0334815979004,-109.645080566406,POINT(-109.645080566406 47.0334815979004)
Maryland,-45.0,-25.0,29.0,-51.0,-39.0,13,38.952522277832,-76.7012176513672,POINT(-76.7012176513672 38.952522277832)
North Dakota,-44.0,-13.0,73.0,-36.0,-24.0,9,47.4462966918945,-100.469429016113,POINT(-100.469429016113 47.4462966918945)
Indiana,-48.0,-25.0,24.0,-34.0,-36.0,11,39.9198036193848,-86.2817993164063,POINT(-86.2817993164063 39.9198036193848)
Arkansas,-29.0,-7.0,81.0,-22.0,-27.0,7,34.8999214172363,-92.4388656616211,POINT(-92.4388656616211 34.8999214172363)
South Carolina,-38.0,-11.0,-4.0,-34.0,-34.0,9,33.9038543701172,-80.8937683105469,POINT(-80.8937683105469 33.9038543701172)
Iowa,-43.0,-10.0,41.0,-28.0,-29.0,10,42.0746994018555,-93.4999694824219,POINT(-93.4999694824219 42.0746994018555)
District of Columbia,-64.0,-30.0,-41.0,-68.0,-47.0,14,38.9061889648438,-77.0172653198242,POINT(-77.0172653198242 38.9061889648438)
Virginia,-39.0,-16.0,46.0,-50.0,-36.0,11,37.5127868652344,-78.6980972290039,POINT(-78.6980972290039 37.5127868652344)
Rhode Island,-55.0,-30.0,-50.0,-67.0,-37.0,14,41.488712310791,-71.4543151855469,POINT(-71.4543151855469 41.488712310791)
North Carolina,-40.0,-15.0,13.0,-51.0,-35.0,10,35.5393524169922,-79.1853790283203,POINT(-79.1853790283203 35.5393524169922)
