Country,Retail_recreation,Grocery_pharmacy,Parks,Transit_stations,Workplaces,Residential,LAT,LON,GeoPoint
Aruba,88.0,66.0,80.0,88.0,72.0,-20.0,12.5091381072998,-69.9704360961914,POINT(-69.9704360961914 12.5091381072998)
Haiti,34.0,31.0,19.0,48.0,14.0,-7.0,18.9335174560547,-72.6745910644531,POINT(-72.6745910644531 18.9335174560547)
South Africa,79.0,60.0,55.0,80.0,49.0,-24.0,-29.002311706543,25.080322265625,POINT(25.080322265625 -29.002311706543)
Malta,76.0,38.0,45.0,57.0,49.0,-19.0,35.8905563354492,14.4395360946655,POINT(14.4395360946655 35.8905563354492)
Taiwan,9.0,-3.0,-17.0,24.0,1.0,-4.0,23.7489929199219,120.971282958984,POINT(120.971282958984 23.7489929199219)
Thailand,55.0,27.0,54.0,61.0,21.0,-16.0,15.1306734085083,101.017784118652,POINT(101.017784118652 15.1306734085083)
Nicaragua,45.0,25.0,31.0,38.0,17.0,-11.0,12.8441591262817,-85.0319671630859,POINT(-85.0319671630859 12.8441591262817)
Philippines,81.0,59.0,59.0,82.0,54.0,-26.0,15.9480419158936,121.42259979248,POINT(121.42259979248 15.9480419158936)
Burkina Faso,34.0,25.0,22.0,53.0,3.0,-15.0,12.2854480743408,-1.74417901039124,POINT(-1.74417901039124 12.2854480743408)
Guatemala,67.0,39.0,53.0,69.0,39.0,-19.0,15.6961078643799,-90.3570938110352,POINT(-90.3570938110352 15.6961078643799)
Argentina,86.0,61.0,89.0,80.0,57.0,-27.0,-35.1811485290527,-65.0938568115234,POINT(-65.0938568115234 -35.1811485290527)
Cape Verde,60.0,48.0,57.0,88.0,40.0,-19.0,15.08362865448,-23.6246719360352,POINT(-23.6246719360352 15.08362865448)
Panama,84.0,61.0,78.0,77.0,59.0,-31.0,8.53103923797607,-80.1344985961914,POINT(-80.1344985961914 8.53103923797607)
Turkey,75.0,39.0,58.0,71.0,45.0,-17.0,39.0510101318359,34.9303398132324,POINT(34.9303398132324 39.0510101318359)
Cambodia,43.0,29.0,31.0,57.0,15.0,-12.0,12.7107715606689,104.916786193848,POINT(104.916786193848 12.7107715606689)
Brazil,71.0,35.0,70.0,62.0,34.0,-17.0,-10.7767972946167,-53.0680541992188,POINT(-53.0680541992188 -10.7767972946167)
Peru,82.0,57.0,76.0,83.0,55.0,-29.0,-9.17124271392822,-74.3568801879883,POINT(-74.3568801879883 -9.17124271392822)
South Korea,19.0,-11.0,-51.0,17.0,12.0,-6.0,36.4511566162109,127.861145019531,POINT(127.861145019531 36.4511566162109)
Bahamas,67.0,34.0,48.0,87.0,52.0,-19.0,24.679536819458,-78.0550003051758,POINT(-78.0550003051758 24.679536819458)
Latvia,50.0,22.0,18.0,48.0,25.0,-7.0,56.8539810180664,24.9274597167969,POINT(24.9274597167969 56.8539810180664)
Ireland,83.0,37.0,59.0,78.0,52.0,-19.0,53.184986114502,-8.14688968658447,POINT(-8.14688968658447 53.184986114502)
Canada,59.0,35.0,16.0,66.0,44.0,-14.0,62.5360412597656,-96.3883514404297,POINT(-96.3883514404297 62.5360412597656)
Mauritius,89.0,86.0,88.0,89.0,69.0,-24.0,-20.2835559844971,57.5718154907227,POINT(57.5718154907227 -20.2835559844971)
Mali,25.0,18.0,12.0,36.0,-0.0,-9.0,17.3576393127441,-3.52487897872925,POINT(-3.52487897872925 17.3576393127441)
Romania,81.0,53.0,60.0,72.0,39.0,-15.0,45.8391304016113,24.9846534729004,POINT(24.9846534729004 45.8391304016113)
Slovakia,82.0,89.0,9.0,61.0,38.0,-10.0,48.7074851989746,19.4848766326904,POINT(19.4848766326904 48.7074851989746)
Macedonia,74.0,41.0,44.0,69.0,51.0,-18.0,41.6004638671875,21.7008895874023,POINT(21.7008895874023 41.6004638671875)
Indonesia,47.0,27.0,52.0,54.0,15.0,-15.0,-0.210123002529144,113.997230529785,POINT(113.997230529785 -0.210123002529144)
Belgium,84.0,53.0,66.0,76.0,52.0,-17.0,50.641185760498,4.660569190979,POINT(4.660569190979 50.641185760498)
Kuwait,56.0,30.0,48.0,49.0,42.0,-23.0,29.3358821868896,47.5954933166504,POINT(47.5954933166504 29.3358821868896)
Georgia,67.0,36.0,24.0,53.0,38.0,-12.0,32.6483306884766,-83.4445571899414,POINT(-83.4445571899414 32.6483306884766)
